========== RoomId : 1 Server 초기 상태 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,초기 상태.
RemoveList,100,12.8773,10.047,30.981,10.087,30.981,3.21718,,async job안에서 sync로 연결된 연쇄 작업.
Monster,100,83.1358,0.008,320.276,0.009,320.276,94.3914,,worker가 io + gamelogic을 혼합 처리. Session에 packethandler 핸드셰이크 작업을 던질때 fast-path 때문에 딸려 들어감.
Room,100,926.513,12.573,2276.16,13.898,2276.16,639.097,,sqrt 연산 남발 및 early exit 없음.
Projectile,100,69.921,0.002,215.954,0.002,215.954,50.4864,,broadcast All
SkillSystem,100,64.1919,0.006,246.723,0.007,246.723,65.0292,,aoe스킬의 dot피해가 매 틱마다 매 aoe스킬 마다 타격 마다 broadcast 중임. Multiroom으로 돌렸더니 컴 뻗었음
Field,100,696.302,0.001,1731.55,0.001,1731.55,515.66,,매번 Object 인덱싱에 전체 탐색 -> 거리 체크 (sqrt 남발)
======================================,,,,,,,,,서버는 판정 (GameLogic) 후 알림 (IO Broadcast) 역할을 지연없이 처리해야된다.
========== RoomId : 1 Server 초기 상태 BENCHMARK SUMMARY ==========,,,,,,,,,GameLogic과 IO 를 분리후 병렬 처리를 해야한다.
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,Broadcast Queue를 Room별 배치하고 Room의 JobQueue로 GameLogic이 직렬로 실행되면서 판정을 알릴때 BroadcastQueue에 작업을 던져서 병렬로 실행되도록 하자.
RemoveList,100,11.3846,8.159,15.427,8.941,15.427,1.3747,,
Monster,100,150.884,43.505,301.101,45.012,301.101,85.129,,
Room,100,2248.13,1511.66,2844.11,1512.99,2844.11,275.029,,
Projectile,100,106.08,34.967,229.269,45.381,229.269,41.5533,,
SkillSystem,100,120.384,17.572,246.03,24.223,246.03,65.0382,,
Field,100,1859.3,1222.16,2548.35,1250.75,2548.35,252.53,,
======================================,,,,,,,,,
========== RoomId : 1 ChangeHP Packet Batch BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,12.9197,10.273,26.88,10.37,26.88,2.07203,,
Monster,100,20.9557,0.007,296.751,0.007,296.751,50.9829,,
Room,100,107.758,14.198,362.748,16.118,362.748,62.2571,,
Projectile,100,27.6428,0.002,87.585,0.003,87.585,23.6064,,
SkillSystem,100,11.2728,0.006,103.025,0.006,103.025,19.4501,,
Field,100,34.8839,0.001,99.679,0.002,99.679,29.5594,,
======================================,,,,,,,,,
========== RoomId : 1 ChangeHP Packet Batch BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,13.8932,10.408,24.165,10.87,24.165,2.85418,,
Monster,100,19.8535,0.007,283.885,0.008,283.885,54.8756,,
Room,100,100.919,12.309,403.469,12.688,403.469,65.2319,,
Projectile,100,24.3018,0.002,91.563,0.003,91.563,23.1036,,
SkillSystem,100,11.114,0.004,113.527,0.005,113.527,20.2638,,
Field,100,31.6692,0.002,100.978,0.002,100.978,27.5277,,
======================================,,,,,,,,,
========== RoomId : 1 SpatialHash활용. 연산 최적화 sqrt 제거 및 중복연산 제거. field 범위 grid 캐싱 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,13.2134,10.52,24.95,10.532,24.95,2.2418,,
Monster,100,21.163,0.005,306.996,0.007,306.996,56.6736,,
Room,100,119.066,13.686,371.531,14.404,371.531,65.1221,,
Projectile,100,42.517,0.002,115.116,0.002,115.116,28.5526,,
SkillSystem,100,11.5122,0.006,98.069,0.006,98.069,20.933,,
Field,100,30.5757,0.001,76.572,0.002,76.572,20.9597,,
======================================,,,,,,,,,
========== RoomId : 1 SpatialHash활용. 연산 최적화 sqrt 제거 및 중복연산 제거. field 범위 grid 캐싱 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,12.9242,11.463,16.939,11.508,16.939,1.07129,,
Monster,100,18.4263,0.009,74.844,0.009,74.844,20.2959,,
Room,100,62.9445,12.508,161.77,13.594,161.77,32.0107,,
Projectile,100,16.2118,0.000999999,56.3,0.002,56.3,15.2297,,
SkillSystem,100,7.4488,0.003,59.464,0.003,59.464,13.0258,,
Field,100,7.84652,0.001,32.829,0.001,32.829,9.03138,,
======================================,,,,,,,,,
========== RoomId : 1 SpatialHash활용. 연산 최적화 sqrt 제거 및 중복연산 제거. field 범위 grid 캐싱 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,13.1383,10.507,30.751,10.594,30.751,2.05553,,
Monster,100,15.5335,0.007,82.775,0.011,82.775,19.7072,,
Room,100,63.5082,13.05,147.653,13.431,147.653,29.7258,,
Projectile,100,12.2382,0.002,79.788,0.002,79.788,15.8228,,
SkillSystem,100,7.37721,0.006,53.736,0.007,53.736,12.0736,,
Field,100,15.1411,0.002,43.327,0.002,43.327,11.8696,,
======================================,,,,,,,,,
========== RoomId : 1 Monster 로직 버그 수정. RayCasting Loop 최대 250배 감소. Monster AI 로직 분산 처리. BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,14.148,10.923,25.834,11.231,25.834,3.21559,,
Monster,100,9.40216,0.008,225.389,0.008,225.389,28.2036,,
Room,100,79.9714,13.172,238.78,13.197,238.78,42.5867,,
Projectile,100,19.1034,0.001,106.14,0.001,106.14,21.3463,,
SkillSystem,100,11.1845,0.006,151.976,0.007,151.976,24.6892,,
Field,100,26.0493,0.001,70.915,0.001,70.915,17.0369,,
======================================,,,,,,,,,
========== RoomId : 1 Monster 로직 버그 수정. RayCasting Loop 최대 250배 감소. Monster AI 로직 분산 처리. BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,15.7786,11.455,23.292,12.287,23.292,3.61971,,
Monster,100,9.46486,0.008,52.391,0.008,52.391,12.0328,,
Room,100,56.7356,19.572,133.314,19.584,133.314,25.5575,,
Projectile,100,12.6671,0.001,68.458,0.001,68.458,14.9277,,
SkillSystem,100,7.91921,0.002,75.815,0.003,75.815,14.8492,,
Field,100,10.8223,0.001,39.781,0.001,39.781,10.4183,,
======================================,,,,,,,,,
========== RoomId : 1 GameLogic Job에서 실행되는 IO Broadcast 를 Async Job으로 Room JobQueue 뒤에 등록 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,20.4296,17.841,26.905,17.891,26.905,1.85349,,
Monster,100,3.41653,0.007,78.388,0.008,78.388,10.2898,,
Room,100,36.2933,20.356,128.081,20.521,128.081,16.8773,,
Projectile,100,6.30173,0.001,37.113,0.001,37.113,6.45099,,
SkillSystem,100,5.92273,0.003,104.364,0.003,104.364,15.3074,,
Field,100,0.12999,0.000999999,0.45,0.002,0.45,0.130358,,
======================================,,,,,,,,,
========== RoomId : 1 GameLogic Job에서 실행되는 IO Broadcast 를 Async Job으로 Room JobQueue 뒤에 등록 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,19.7026,17.836,27.636,17.861,27.636,1.68265,,
Monster,100,2.87803,0.008,24.196,0.008,24.196,3.5876,,
Room,100,30.6673,18.062,68.341,18.201,68.341,10.2975,,
Projectile,100,3.71253,0.001,19.434,0.002,19.434,4.68457,,
SkillSystem,100,4.13486,0.003,40.09,0.003,40.09,8.92522,,
Field,100,0.12393,0.001,0.531,0.001,0.531,0.104015,,
======================================,,,,,,,,,
========== RoomId : 1 GameLogic Job에서 실행되는 IO Broadcast 를 Async Job으로 Room JobQueue 뒤에 등록 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,20.0254,17.586,26.548,17.939,26.548,1.77928,,
Monster,100,1.98971,0.007,13.114,0.007,13.114,3.46352,,
Room,100,29.2523,18.204,69.58,18.487,69.58,9.67986,,
Projectile,100,3.08962,0.001,22.223,0.001,22.223,4.25609,,
SkillSystem,100,4.04213,0.003,40.453,0.003,40.453,8.60316,,
Field,100,0.00411,0.000999999,0.029,0.000999999,0.029,0.00423532,,
======================================,,,,,,,,,
========== RoomId : 1 SkillSystem의 Spawn을 Async Job처리 -> Sync로 일어나는 연쇄작업 분산 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,20.104,17.833,25.399,18.129,25.399,1.62758,,
Monster,100,3.13302,0.008,74.864,0.008,74.864,9.90071,,
Room,100,32.705,18.636,93.768,19.078,93.768,10.5592,,
Projectile,100,9.18138,0.002,39.108,0.002,39.108,6.84424,,
SkillSystem,100,0.0199,0.003,0.186,0.003,0.186,0.0231687,,
Field,100,0.18188,0.001,0.711,0.001,0.711,0.122774,,
======================================,,,,,,,,,
========== RoomId : 1 SkillSystem의 Spawn을 Async Job처리 -> Sync로 일어나는 연쇄작업 분산 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,19.8938,17.974,26.09,18.083,26.09,1.4567,,
Monster,100,3.74881,0.01,15.183,0.011,15.183,3.80811,,
Room,100,28.1517,18.477,49.686,18.616,49.686,6.29599,,
Projectile,100,4.3333,0.002,19.797,0.002,19.797,4.60681,,
SkillSystem,100,0.01791,0.002,0.065,0.003,0.065,0.0154137,,
Field,100,0.06653,0.000999999,0.433,0.000999999,0.433,0.100789,,
======================================,,,,,,,,,
========== RoomId : 1 SkillSystem의 Spawn을 Async Job처리 -> Sync로 일어나는 연쇄작업 분산 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,20.0437,18.043,28.281,18.266,28.281,1.60229,,
Monster,100,2.39175,0.008,11.718,0.009,11.718,3.22193,,
Room,100,25.705,18.321,37.835,18.459,37.835,5.44182,,
Projectile,100,3.099,0.002,17.232,0.002,17.232,4.20034,,
SkillSystem,100,0.01917,0.003,0.077,0.003,0.077,0.0165826,,
Field,100,0.06461,0.000999999,0.264,0.001,0.264,0.072478,,
======================================,,,,,,,,,
========== RoomId : 1 Room별 Broadcast Queue 배치 → Broadcast와 Room Logic 완전 분리 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.22199,0.176,1.097,0.181,1.097,0.0961525,,
Monster,100,0.54363,0.008,9.553,0.009,9.553,1.40362,,
Room,100,3.63598,0.332,10.707,0.334,10.707,1.97446,,
Projectile,100,1.09354,0.001,5.37,0.002,5.37,1.18639,,
SkillSystem,100,0.23986,0.002,2.151,0.002,2.151,0.435707,,
Field,100,1.44619,0.000999998,3.442,0.001,3.442,1.21065,,
======================================,,,,,,,,,
========== RoomId : 1 Room별 Broadcast Queue 배치 → Broadcast와 Room Logic 완전 분리 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.2264,0.188,0.562,0.191,0.562,0.0529129,,
Monster,100,0.50183,0.009,2.367,0.01,2.367,0.626306,,
Room,100,2.4828,0.271,8.104,0.336,8.104,1.30315,,
Projectile,100,0.64643,0.001,3.749,0.002,3.749,0.888965,,
SkillSystem,100,0.24713,0.002,2.458,0.003,2.458,0.445347,,
Field,100,0.72692,0.001,2.808,0.001,2.808,0.601393,,
======================================,,,,,,,,,
========== RoomId : 1 IO Worker / Game Worker 분리. DoAsyncPushOnly -> IOWorker와 MainThread 의 fast-path 방지 + MultiRoom 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.29571,0.227,0.487,0.229,0.487,0.0524923,,
Monster,100,0.64383,0.007,15.206,0.008,15.206,1.8816,,
Room,100,4.46475,0.326,15.646,0.338,15.646,2.44644,,
Projectile,100,0.974,0.000999998,5.708,0.000999998,5.708,1.39202,,
SkillSystem,100,0.35616,0.003,3.443,0.004,3.443,0.688627,,
Field,100,2.1212,0.001,5.923,0.002,5.923,1.31067,,
======================================,,,,,,,,,
========== RoomId : 2 IO Worker / Game Worker 분리. DoAsyncPushOnly -> IOWorker와 MainThread 의 fast-path 방지 + MultiRoom 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.30641,0.235,0.583,0.236,0.583,0.0548721,,
Monster,100,0.70318,0.008,12.39,0.009,12.39,1.73794,,
Room,100,6.01427,0.328,12.894,0.375,12.894,2.2875,,
Projectile,100,2.34976,0.001,6.081,0.002,6.081,1.55579,,
SkillSystem,100,0.35978,0.004,4.879,0.004,4.879,0.788123,,
Field,100,2.22072,0.000999998,4.066,0.001,4.066,1.22758,,
======================================,,,,,,,,,
========== RoomId : 1 IO Worker / Game Worker 분리. DoAsyncPushOnly -> IOWorker와 MainThread 의 fast-path 방지 + MultiRoom 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.31306,0.236,0.499,0.239,0.499,0.0637416,,
Monster,100,0.50572,0.009,2.703,0.01,2.703,0.689414,,
Room,100,2.8141,0.307,8.949,0.318,8.949,1.8875,,
Projectile,100,0.54788,0.001,4.484,0.001,4.484,1.07386,,
SkillSystem,100,0.32668,0.003,2.236,0.003,2.236,0.554347,,
Field,100,1.03062,0.001,5.827,0.001,5.827,1.24267,,
======================================,,,,,,,,,
========== RoomId : 2 IO Worker / Game Worker 분리. DoAsyncPushOnly -> IOWorker와 MainThread 의 fast-path 방지 + MultiRoom 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.31868,0.232,0.519,0.239,0.519,0.0582712,,
Monster,100,1.17613,0.01,5.211,0.011,5.211,1.11778,,
Room,100,3.54728,0.318,11,0.346,11,2.43418,,
Projectile,100,1.07592,0.002,7.049,0.002,7.049,1.32141,,
SkillSystem,100,0.26913,0.002,2.311,0.002,2.311,0.502072,,
Field,100,0.62877,0.000999998,3.488,0.001,3.488,0.977927,,
======================================,,,,,,,,,
========== RoomId : 2 IO Worker / Game Worker 분리. DoAsyncPushOnly -> IOWorker와 MainThread 의 fast-path 방지 + MultiRoom 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.32921,0.234,0.621,0.237,0.621,0.0733345,,
Monster,100,0.3424,0.009,2.26,0.009,2.26,0.550401,,
Room,100,2.96731,0.981,7.346,1.11,7.346,1.55848,,
Projectile,100,0.65783,0.000999998,6.077,0.001,6.077,1.12684,,
SkillSystem,100,0.35219,0.003,2.568,0.003,2.568,0.655881,,
Field,100,1.20526,0.001,3.712,0.001,3.712,0.841775,,
======================================,,,,,,,,,
========== RoomId : 1 IO Worker / Game Worker 분리. DoAsyncPushOnly -> IOWorker와 MainThread 의 fast-path 방지 + MultiRoom 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.34375,0.248,0.854,0.25,0.854,0.0914064,,
Monster,100,0.51003,0.008,3.945,0.009,3.945,0.768293,,
Room,100,3.11781,0.335,10.154,0.365,10.154,2.04601,,
Projectile,100,0.43686,0.001,4.437,0.001,4.437,0.989668,,
SkillSystem,100,0.34822,0.003,4.481,0.003,4.481,0.705425,,
Field,100,1.38699,0.001,4.892,0.001,4.892,1.40268,,
======================================,,,,,,,,,
========== RoomId : 2 IO Worker / Game Worker 분리. DoAsyncPushOnly -> IOWorker와 MainThread 의 fast-path 방지 + MultiRoom 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.31527,0.231,0.511,0.241,0.511,0.0655095,,
Monster,100,0.3605,0.008,2.564,0.009,2.564,0.589938,,
Room,100,3.54426,0.338,9.981,0.342,9.981,1.89412,,
Projectile,100,0.5979,0.000999998,3.181,0.001,3.181,0.869319,,
SkillSystem,100,0.3513,0.004,2.244,0.007,2.244,0.530108,,
Field,100,1.83663,0.000999998,4.982,0.000999998,4.982,1.44338,,
======================================,,,,,,,,,
========== RoomId : 1 IO Worker / Game Worker 분리. DoAsyncPushOnly -> IOWorker와 MainThread 의 fast-path 방지 + MultiRoom 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.30834,0.233,0.533,0.247,0.533,0.0463168,,
Monster,100,0.34747,0.01,2.593,0.011,2.593,0.601188,,
Room,100,3.5353,0.341,9.359,0.359,9.359,2.52079,,
Projectile,100,0.67036,0.001,4.823,0.001,4.823,1.08974,,
SkillSystem,100,0.33304,0.002,1.824,0.003,1.824,0.518903,,
Field,100,1.79777,0.001,7.921,0.001,7.921,2.10005,,
======================================,,,,,,,,,
========== RoomId : 2 IO Worker / Game Worker 분리. DoAsyncPushOnly -> IOWorker와 MainThread 의 fast-path 방지 + MultiRoom 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.34016,0.239,1.436,0.24,1.436,0.135633,,
Monster,100,0.34815,0.01,3.87,0.01,3.87,0.614834,,
Room,100,1.69421,0.298,6.211,0.313,6.211,1.34878,,
Projectile,100,0.60096,0.001,4.296,0.001,4.296,1.0466,,
SkillSystem,100,0.31643,0.002,1.723,0.003,1.723,0.488523,,
Field,100,0.00289,0.000999998,0.015,0.001,0.015,0.00226669,,
======================================,,,,,,,,,
========== RoomId : 1 IO Worker / Game Worker 분리. DoAsyncPushOnly -> IOWorker와 MainThread 의 fast-path 방지 + MultiRoom 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.33983,0.242,0.574,0.251,0.574,0.0718819,,
Monster,100,0.39698,0.008,2.072,0.008,2.072,0.597046,,
Room,100,2.0971,0.305,8.665,0.307,8.665,1.56816,,
Projectile,100,0.70323,0.000999998,4.726,0.001,4.726,1.17799,,
SkillSystem,100,0.36274,0.003,3.235,0.004,3.235,0.622604,,
Field,100,0.22798,0.000999998,1.799,0.001,1.799,0.480591,,
======================================,,,,,,,,,
========== RoomId : 1 싱글룸 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.31068,0.21,1.308,0.211,1.308,0.119302,,
Monster,100,0.43706,0.009,3.147,0.009,3.147,0.652945,,
Room,100,2.27931,0.281,7.369,0.292,7.369,1.49662,,
Projectile,100,0.54682,0.000999998,6.03,0.001,6.03,1.08926,,
SkillSystem,100,0.27991,0.003,1.945,0.003,1.945,0.463145,,
Field,100,0.62807,0.000999998,3.929,0.001,3.929,0.696429,,
======================================,,,,,,,,,
========== RoomId : 1 싱글룸 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.30265,0.202,0.633,0.203,0.633,0.079366,,
Monster,100,0.38581,0.009,2.596,0.01,2.596,0.618639,,
Room,100,3.81571,0.334,10.174,0.347,10.174,1.93326,,
Projectile,100,0.57122,0.001,4.287,0.001,4.287,0.938673,,
SkillSystem,100,0.3279,0.002,1.694,0.003,1.694,0.491301,,
Field,100,2.14939,0.001,5.966,0.001,5.966,1.58065,,
======================================,,,,,,,,,
========== RoomId : 1 싱글룸 테스트 BENCHMARK SUMMARY ==========,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,
RemoveList,100,0.30305,0.21,0.478,0.217,0.478,0.0644911,,
Monster,100,0.31916,0.01,2.703,0.01,2.703,0.565695,,
Room,100,2.02944,0.294,6.837,0.295,6.837,1.48038,,
Projectile,100,0.57314,0.000999998,5.069,0.000999998,5.069,1.09064,,
SkillSystem,100,0.34555,0.002,2.944,0.003,2.944,0.607122,,
Field,100,0.41134,0.000999998,2.25,0.001,2.25,0.63804,,
======================================,,,,,,,,,
