,,,,,,,,,,,,,,,,,,결론,SendCount와 BCJobPush 관계,,,,,,,
BCNearJobPush,4039,0.0109485,0.002,0.191,0.003,0.048,0.00887934,,,,,,,,,,,,,,,,,,,
BCExecuteTime,4039,0.356029,0,16,0,16,2.33312,,,,,,,,,,,,,,,,,,,
Room,100,0.996,0.491,2.451,0.499,2.451,0.353711,,,,,,,,,,,,,,,,,,,
BCJobPush,3397,0.130789,0.062,0.643,0.08,0.331,0.0456379,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 200 test BENCHMARK SUMMARY ==========,,,,,,,,,,Broadcast batch 고민중 Client는 선적용으로 이미 본인의 화면에 predict를 하고음.,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,Server가 Client에서 틱마다 오는 C_MOVE를 처리해서 모두 보낸다고 해도 의미가 없다.,,,,,,,,,,,,,,,,
BCQueueDelay,7958,55.9445,0,0,0,203,50.8514,,,Flush로 PosInfo가 변경될때 마지막에 알림만 한다. C_MOVE로 들어오는 모든 판정은 즉시,,,,,,,,,,,,,,,,
SendCount,7960,57.9866,0,200,19,200,38.9963,,,interested player 관리 해서 spawn despawn도 처리해보자,,,,,,,,,,,,,,,,
Room,100,0.82314,0.119,1.911,0.127,1.911,0.299027,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 200 test BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,7525,96.2066,0,0,0,235,67.3645,,,,,,,,,,,,,,,,,,,
SendCount,7528,48.0721,7,200,15,200,23.5533,,,,,,,,,,,,,,,,,,,
Room,100,0.83949,0.347,1.334,0.406,1.334,0.212719,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 200 test BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,7680,73.3144,0,0,0,204,57.802,,,,,,,,,,,,,,,,,,,
SendCount,7683,46.669,7,56,13,200,24.1742,,,,,,,,,,,,,,,,,,,
Room,100,0.79708,0.313,1.676,0.323,1.676,0.242251,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 200 test BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,385,0.0258909,0.005,0.248,0.007,0.101,0.0180608,,,,,,,,,,,,,,,,,,,
SendCount,385,0.638961,0,1,0,1,0.480302,,,,,,,,,,,,,,,,,,,
Room,100,0.38167,0.235,0.657,0.282,0.657,0.0695718,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 200 test BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,385,45.8912,0.006,7484.78,0.008,1357.36,439.653,,,,,,,,,,,,,,,,,,,
SendCount,385,0.802597,0,1,0,1,0.398039,,,,,,,,,,,,,,,,,,,
Room,100,421.457,0.229,19819.6,0.28,19819.6,2190.75,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 flushbroadcast BENCHMARK SUMMARY ==========,,,,,,,,,AOI Cell 크기 조절 실패. AOI 구조 분리는 추후 적용,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,현재 Flush 형식의 Broadcast는 SendCount가 줄어들어 효과가 있음,,,,,,,,,,,,,,,,,
BCQueueDelay,358,0.0453911,0,0.871,0.015,0.362,0.0693268,,,,,,,,,,,,,,,,,,,
SendCount,358,1.15922,0,2,0,2,0.927429,,,,,,,,,,,,,,,,,,,
Room,100,0.54444,0.337,4.194,0.337,4.194,0.430689,,,,,,,,,,,,,,,,,,,
FlushBroadcast,100,0.45526,0.264,4.099,0.266,4.099,0.428012,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 flushbroadcast BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,100,0.15769,0.014,9.444,0.018,9.444,0.948969,,,,,,,,,,,,,,,,,,,
SendCount,100,2,2,2,2,2,0,,,,,,,,,,,,,,,,,,,
FlushBroadcast,100,2.33418,0.253,59.931,0.259,59.931,8.17296,,,,,,,,,,,,,,,,,,,
Room,100,2.44588,0.312,60.018,0.324,60.018,8.18011,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 flushbroadcast BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,389,0.0214756,0,0.238,0,0.057,0.0151618,,,,,,,,,,,,,,,,,,,
SendCount,389,4.69409,0,5,0,5,1.17449,,,,,,,,,,,,,,,,,,,
Room,100,4.51423,0.266,32.097,0.278,32.097,7.39424,,,,,,,,,,,,,,,,,,,
FlushBroadcast,100,4.38899,0.193,31.974,0.201,31.974,7.38578,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 flushbroadcast BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,100,0.02094,0.011,0.082,0.012,0.082,0.00746434,,,,,,,,,,,,,,,,,,,
SendCount,100,5,5,5,5,5,0,,,,,,,,,,,,,,,,,,,
FlushBroadcast,100,0.25987,0.2,0.454,0.2,0.454,0.0368686,,,,,,,,,,,,,,,,,,,
Room,100,0.38228,0.26,0.602,0.275,0.602,0.0619426,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 flushbroadcast BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,115,0.0225826,0,0.134,0,0.126,0.0201753,,,,,,,,,,,,,,,,,,,
SendCount,115,4.01739,0,5,0,5,1.9336,,,,,,,,,,,,,,,,,,,
FlushBroadcast,100,7.97828,0.198,48.223,0.199,48.223,12.193,,,,,,,,,,,,,,,,,,,
Room,100,8.1127,0.257,48.419,0.286,48.419,12.1909,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 100 flush broadcast all BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,Room Logic 오류 발견 GetSafePos Steps 비율 오류,,,,,,,,,,,,,,,,,
BCQueueDelay,869,0.0567537,0,1.017,0,0.8,0.174256,,,,,,,,,,,,,,,,,,,
SendCount,870,28.823,5,100,6,100,26.6156,,,,,,,,,,,,,,,,,,,
FlushBroadcast,100,1.43732,0.011,3.765,0.011,3.765,1.44214,,,,,,,,,,,,,,,,,,,
Room,100,9.25699,4.357,14.446,4.825,14.446,2.19617,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 100 flush broadcast all BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,829,0.0662159,0,0.996,0,0.832,0.191977,,,,,,,,,,,,,,,,,,,
SendCount,829,29.1098,5,100,7,100,27.0696,,,,,,,,,,,,,,,,,,,
FlushBroadcast,100,1.34567,0.011,3.557,0.011,3.557,1.42908,,,,,,,,,,,,,,,,,,,
Room,100,8.68385,3.037,14.83,3.141,14.83,2.39656,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 100 flush broadcast all BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
RemoveList,100,0.0499,0.023,0.288,0.03,0.288,0.0268188,,,,,,,,,,,,,,,,,,,
Monster,100,0.58919,0.008,5.455,0.009,5.455,1.0377,,,,,,,,,,,,,,,,,,,
Room,100,7.5329,0.091,21.243,0.096,21.243,3.76867,,,,,,,,,,,,,,,,,,,
Projectile,100,3.45915,0.002,21.093,0.002,21.093,3.14818,,,,,,,,,,,,,,,,,,,
SkillSystem,100,0.30198,0.003,2.122,0.003,2.122,0.554747,,,,,,,,,,,,,,,,,,,
Field,100,1.82123,0.002,5.298,0.002,5.298,1.74971,,,,,,,,,,,,,,,,,,,
BCQueueDelay,673,0.0814978,0,1.663,0,0.928,0.237675,,,,,,,,,,,,,,,,,,,
SendCount,673,33.679,0,100,0,100,27.844,,,,,,,,,,,,,,,,,,,
FlushBroadcast,100,1.26063,0.004,4.307,0.005,4.307,1.46116,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 100 flush broadcast all BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
Monster,100,2.57948,0.008,6.584,0.011,6.584,1.63366,,,,,,,,,,,,,,,,,,,
BCQueueDelay,811,0.0702528,0,1.252,0,0.884,0.209325,,,,,,,,,,,,,,,,,,,
SendCount,811,33.9236,3,100,4,100,26.9341,,,,,,,,,,,,,,,,,,,
Room,100,8.80989,2.986,17.175,3.16,17.175,3.32976,,,,,,,,,,,,,,,,,,,
Projectile,100,3.04103,0.005,8.039,0.005,8.039,1.90841,,,,,,,,,,,,,,,,,,,
Field,100,1.46523,0.002,7.033,0.002,7.033,1.95014,,,,,,,,,,,,,,,,,,,
SkillSystem,100,0.29056,0.003,1.425,0.004,1.425,0.457275,,,,,,,,,,,,,,,,,,,
RemoveList,100,0.05661,0.036,0.281,0.037,0.281,0.0283513,,,,,,,,,,,,,,,,,,,
FlushBroadcast,100,1.32332,0.008,3.472,0.008,3.472,1.36037,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 1000 flush broadcast all BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,789,0.0855032,0,1.873,0,1.086,0.259463,,,,,,,,,,,,,,,,,,,
SendCount,789,31.3511,0,100,0,100,26.2651,,,,,,,,,,,,,,,,,,,
Room,100,8.64162,0.06,17.254,0.064,17.254,4.21307,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 1000 flush broadcast all BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
BCQueueDelay,889,0.0646952,0,1.193,0,0.829,0.191634,,,,,,,,,,,,,,,,,,,
SendCount,890,32.3865,8,100,8,100,24.9636,,,,,,,,,,,,,,,,,,,
Room,100,9.9542,4.484,19.691,5.084,19.691,2.89101,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 1000 flush broadcast all BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,pkt type 별 Send,,,,,,,,,,,,,,,,
BCNearbySnapshot,511,0.415896,0.169,0.835,0.191,0.699,0.113696,,,"Player N , Type Count K",,,,,,,,,,,,,,,,
BCQueueDelay,511,0.426614,0,16,0,16,2.54317,,,N x K Send량,,,,,,,,,,,,,,,,
SendCount,511,275.798,102,373,110,372,81.9694,,,,,,,,,,,,,,,,,,,
Monster,100,15.34,0.127,27.862,0.129,27.862,5.97256,,,> Move 로직 오류 수정,,,,,,,,,,,,,,,,
ProjectileFind,121,0.00870248,0.003,0.026,0.003,0.02,0.0035271,,,,,,,,,,,,,,,,,,,
Room,100,50.0607,31.273,87.257,32.522,87.257,10.2843,,,,,,,,,,,,,,,,,,,
Projectile,100,13.2264,0.108,26.488,0.113,26.488,7.53712,,,> Move 로직 오류 수정,,,,,,,,,,,,,,,,
Field,100,0.67837,0.113,1.589,0.114,1.589,0.358717,,,,,,,,,,,,,,,,,,,
SkillSystem,100,0.21591,0.05,1.035,0.052,1.035,0.253801,,,,,,,,,,,,,,,,,,,
RemoveList,100,0.04071,0.022,0.082,0.023,0.082,0.0113897,,,,,,,,,,,,,,,,,,,
FlushTickBroadcast,100,20.4888,14.284,32.607,14.305,32.607,3.66946,,,,,,,,,,,,,,,,,,,
MonsterRaycasting,198,0.0190758,0.007,0.058,0.008,0.047,0.00737518,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 dummy 1000 flush broadcast all BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
MonsterFind,34,0.0553235,0.021,0.23,0.021,0.23,0.0375027,,,,,,,,,,,,,,,,,,,
RemoveList,100,0.01993,0.001,0.094,0.002,0.094,0.0157691,,,,,,,,,,,,,,,,,,,
Monster,100,2.71877,0.022,19.93,0.023,19.93,5.86939,,,,,,,,,,,,,,,,,,,
Projectile,100,12.8558,0.003,26.407,0.004,26.407,7.77766,,,,,,,,,,,,,,,,,,,
Room,100,46.7583,0.089,99.554,0.09,99.554,22.1934,,,,,,,,,,,,,,,,,,,
FlushTickBroadcast,100,19.2291,0.005,46.139,0.005,46.139,10.0702,,,,,,,,,,,,,,,,,,,
SkillSystem,100,0.26239,0.003,1.8,0.004,1.8,0.334509,,,,,,,,,,,,,,,,,,,
Field,100,11.5943,0.003,24.651,0.003,24.651,8.25977,,,,,,,,,,,,,,,,,,,
BCNearbySnapshot,60,0.381117,0.11,0.807,0.11,0.807,0.160429,,,,,,,,,,,,,,,,,,,
BCQueueDelay,60,2.06667,0,31,0,31,5.98294,,,,,,,,,,,,,,,,,,,
SendCount,60,231.05,51,346,51,346,100.985,,,,,,,,,,,,,,,,,,,
MonsterRaycasting,22,0.028,0.021,0.042,0.021,0.042,0.00489898,,,,,,,,,,,,,,,,,,,
ProjectileFind,130,0.00903846,0.002,0.055,0.002,0.049,0.00667533,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 1000 active dummy Hybrid Flush Server BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,최종 Flush Pkt를 활용 Pkt 우선순위를 고려한 Event Ordering 정책 적용,,,,,,,,,,,,,,,,
DeferPktCount,94,30.9362,0,1010,0,1010,102.366,,,Flush Pkt 로 통합 batch후 Send,,,,,,,,,,,,,,,,
FlushImmediateBroadcast,100,0.15442,0.007,3.023,0.008,3.023,0.534826,,,최종 Send량 N x 2,,,,,,,,,,,,,,,,
Room,100,0.80667,0.064,6.767,0.085,6.767,0.936242,,,,,,,,,,,,,,,,,,,
FlushDeferBroadcast,100,0.34975,0.013,4.34,0.019,4.34,0.426765,,,,,,,,,,,,,,,,,,,
ImmediatePktCount,8,624,200,1000,200,1000,298.046,,,,,,,,,,,,,,,,,,,
BCQueueDelay,102,1.81111,0.016,26.932,0.017,26.24,6.13975,,,,,,,,,,,,,,,,,,,
SendCount,102,862.745,0,1000,0,1000,344.116,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 1000 active dummy Hybrid Flush Server BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
DeferPktCount,62,14.2258,0,30,0,30,8.40011,,,,,,,,,,,,,,,,,,,
FlushImmediateBroadcast,100,0.20653,0.008,3.758,0.008,3.758,0.666106,,,,,,,,,,,,,,,,,,,
Room,100,0.7096,0.158,4.447,0.165,4.447,0.720821,,,,,,,,,,,,,,,,,,,
FlushDeferBroadcast,100,0.23051,0.014,0.524,0.017,0.524,0.165054,,,,,,,,,,,,,,,,,,,
ImmediatePktCount,10,700.2,85,1000,85,1000,349.757,,,,,,,,,,,,,,,,,,,
BCQueueDelay,72,2.06618,0.016,29.92,0.016,29.92,6.84636,,,,,,,,,,,,,,,,,,,
SendCount,72,1000,1000,1000,1000,1000,0,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 1000 active dummy Hybrid Flush Server BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
DeferPktCount,59,12.2712,5,25,5,25,4.70424,,,,,,,,,,,,,,,,,,,
FlushImmediateBroadcast,100,0.21247,0.007,2.606,0.007,2.606,0.590608,,,,,,,,,,,,,,,,,,,
Room,100,0.69078,0.148,3.314,0.153,3.314,0.651404,,,,,,,,,,,,,,,,,,,
FlushDeferBroadcast,100,0.21493,0.016,0.504,0.016,0.504,0.164127,,,,,,,,,,,,,,,,,,,
ImmediatePktCount,13,615.385,2,1000,2,1000,380.42,,,,,,,,,,,,,,,,,,,
BCQueueDelay,72,2.49729,0.017,27.041,0.017,27.041,7.05273,,,,,,,,,,,,,,,,,,,
SendCount,72,1000,1000,1000,1000,1000,0,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
========== RoomId : 1 1000 active dummy Hybrid Flush Server BENCHMARK SUMMARY ==========,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,,,,,,,,,,,,,,,,
DeferPktCount,92,16.0761,5,27,5,27,6.26452,,,,,,,,,,,,,,,,,,,
FlushImmediateBroadcast,100,0.17021,0.007,2.878,0.008,2.878,0.550126,,,,,,,,,,,,,,,,,,,
Room,100,0.85143,0.199,3.465,0.235,3.465,0.573439,,,,,,,,,,,,,,,,,,,
FlushDeferBroadcast,100,0.32934,0.021,0.822,0.023,0.822,0.114838,,,,,,,,,,,,,,,,,,,
ImmediatePktCount,11,545.909,2,1000,2,1000,427.766,,,,,,,,,,,,,,,,,,,
BCQueueDelay,103,2.05815,0.016,27.841,0.017,25.18,6.30797,,,,,,,,,,,,,,,,,,,
SendCount,103,1000,1000,1000,1000,1000,0,,,,,,,,,,,,,,,,,,,
======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
